Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
vila velha,75.0,BR,1561953352.0,88.0,-3.71,-38.6,77.0,14.99
hobart,40.0,AU,1561953224.0,42.0,-42.88,147.33,62.6,24.16
portland,1.0,US,1561952813.0,100.0,43.66,-70.25,62.01,3.36
bud,100.0,NO,1561953501.0,100.0,62.91,6.91,53.6,1.12
san cristobal,100.0,HN,1561953260.0,89.0,14.68,-86.92,68.6,6.08
atherton,90.0,AU,1561953502.0,61.0,-17.27,145.48,77.0,18.34
providencia,90.0,CO,1561953502.0,94.0,1.24,-77.6,53.16,2.75
lebu,97.0,ET,1561953502.0,90.0,8.96,38.73,55.9,1.7
klaksvik,93.0,FO,1561953369.0,81.0,62.23,-6.59,44.6,18.34
mar del plata,98.0,AR,1561953439.0,71.0,-46.43,-67.52,33.61,24.11
eureka,90.0,US,1561953343.0,87.0,40.8,-124.16,60.8,9.17
praya,75.0,ID,1561953503.0,65.0,-8.71,116.27,82.4,11.41
san ramon,27.0,NI,1561953504.0,95.0,12.92,-85.84,66.69,5.55
hukuntsi,0.0,BW,1561953504.0,67.0,-23.98,21.76,45.08,9.6
ulaangom,0.0,MN,1561953504.0,46.0,49.98,92.07,70.85,7.34
buraydah,0.0,SA,1561953504.0,39.0,26.33,43.97,78.8,6.33
altay,0.0,CN,1561953505.0,31.0,47.83,88.13,61.02,7.27
takab,0.0,IR,1561953505.0,39.0,36.4,47.11,63.49,1.48
baykit,0.0,RU,1561953505.0,22.0,61.68,96.39,92.4,1.54
parabel,13.0,RU,1561953506.0,56.0,58.71,81.5,64.23,7.14
marzuq,100.0,YE,1561953506.0,39.0,14.4,46.47,78.88,5.75
ornskoldsvik,43.0,SE,1561953506.0,87.0,63.29,18.72,51.8,9.17
beloha,0.0,MG,1561952931.0,77.0,-25.17,45.06,68.33,4.29
beringovskiy,35.0,RU,1561953405.0,63.0,63.05,179.32,56.33,21.77
verkhnevilyuysk,10.0,RU,1561953508.0,37.0,63.45,120.31,84.66,3.4
wuwei,0.0,CN,1561953508.0,23.0,37.93,102.64,79.91,5.5
noumea,40.0,NC,1561953340.0,69.0,-22.28,166.46,77.0,10.29
mogadishu,62.0,SO,1561953509.0,85.0,2.04,45.34,76.11,13.13
oudtshoorn,0.0,ZA,1561953509.0,58.0,-33.59,22.2,57.2,12.75
sao joao da barra,0.0,BR,1561952936.0,94.0,-21.64,-41.05,68.3,2.46
saldanha,100.0,PT,1561953509.0,88.0,41.42,-6.55,63.44,2.89
stolbishche,32.0,RU,1561953510.0,92.0,52.59,35.29,56.51,5.77
campo formoso,31.0,BR,1561953510.0,95.0,-10.51,-40.32,64.03,11.1
port hedland,20.0,AU,1561952928.0,13.0,-20.31,118.58,84.2,10.29
yining,23.0,CN,1561953511.0,54.0,29.04,114.56,89.41,3.11
longyearbyen,75.0,NO,1561953511.0,70.0,78.22,15.63,44.6,41.38
emerald,33.0,AU,1561953511.0,33.0,-23.53,148.16,75.2,5.82
provideniya,90.0,RU,1561953347.0,93.0,64.42,-173.23,48.2,13.42
morgan city,0.0,US,1561953512.0,83.0,29.7,-91.21,81.0,4.7
poum,0.0,MK,1561953512.0,82.0,41.28,20.71,55.4,5.82
kodiak,1.0,US,1561953222.0,47.0,39.95,-94.76,82.4,6.93
kavieng,1.0,PG,1561953513.0,71.0,-2.57,150.8,83.81,6.17
cantaura,98.0,VE,1561953513.0,83.0,9.31,-64.36,75.23,8.43
smidovich,95.0,RU,1561953513.0,68.0,48.6,133.81,72.13,5.59
nha trang,40.0,VN,1561953513.0,55.0,12.24,109.19,91.4,6.93
grand gaube,75.0,MU,1561953035.0,64.0,-20.01,57.66,71.6,11.41
adrar,0.0,DZ,1561953514.0,13.0,27.87,-0.29,89.6,14.99
fort-shevchenko,100.0,KZ,1561953514.0,56.0,44.51,50.26,73.5,23.51
atuona,83.0,PF,1561953360.0,74.0,-9.8,-139.03,80.37,11.83
chuy,10.0,UY,1561953366.0,84.0,-33.69,-53.46,48.71,11.32
okahandja,33.0,NA,1561953515.0,74.0,-21.98,16.91,36.0,1.16
andra,87.0,RU,1561953515.0,68.0,62.52,65.89,69.68,15.17
ahipara,18.0,NZ,1561952977.0,79.0,-35.17,173.16,61.82,8.84
north bend,75.0,US,1561953404.0,82.0,43.41,-124.22,60.8,12.75
cabra,0.0,ES,1561953516.0,82.0,37.47,-4.43,68.0,6.93
lorengau,84.0,PG,1561953451.0,67.0,-2.02,147.27,84.7,0.87
abaza,100.0,RU,1561953516.0,96.0,52.65,90.1,53.32,2.95
lavrentiya,100.0,RU,1561952937.0,70.0,65.58,-170.99,50.71,11.68
pokhara,0.0,NP,1561953517.0,58.0,28.21,83.99,65.81,3.74
gunnedah,39.0,AU,1561953517.0,48.0,-30.98,150.25,66.99,3.36
chicama,90.0,PE,1561953518.0,88.0,-7.84,-79.15,64.4,8.05
komsomolskiy,100.0,RU,1561953518.0,81.0,67.55,63.78,62.93,15.88
jiazi,75.0,CN,1561953518.0,100.0,19.61,110.49,77.0,11.18
solnechnyy,49.0,RU,1561953519.0,33.0,50.72,136.64,77.15,5.91
melton mowbray,20.0,GB,1561953519.0,82.0,52.77,-0.89,57.99,13.87
port-cartier,20.0,CA,1561953002.0,93.0,50.03,-66.88,50.0,3.27
kahului,75.0,US,1561953519.0,94.0,20.89,-156.47,75.99,6.93
morwell,33.0,AU,1561953520.0,59.0,-38.24,146.4,60.01,11.01
morondava,0.0,MG,1561953520.0,59.0,-20.3,44.28,76.0,15.57
pascagoula,1.0,US,1561953521.0,100.0,30.37,-88.56,80.6,4.09
guerrero negro,0.0,MX,1561953521.0,70.0,27.97,-114.04,70.39,24.52
keelung,75.0,TW,1561953482.0,63.0,25.13,121.74,95.0,4.7
san vicente,75.0,EC,1561953522.0,88.0,-0.59,-80.41,73.4,6.93
lagoa,0.0,PT,1561953522.0,60.0,37.14,-8.45,68.0,3.36
saint george,20.0,GR,1561953522.0,63.0,39.45,22.34,69.01,6.93
marystown,100.0,CA,1561953241.0,88.0,47.17,-55.16,53.68,7.63
bambous virieux,75.0,MU,1561953338.0,64.0,-20.34,57.76,71.6,11.41
lasa,0.0,CY,1561953523.0,33.0,34.92,32.53,80.6,6.93
norton shores,1.0,US,1561953523.0,100.0,43.17,-86.26,73.99,3.85
thompson,75.0,CA,1561953524.0,82.0,55.74,-97.86,60.8,11.41
kirakira,93.0,SB,1561953524.0,84.0,-10.46,161.92,79.6,15.26
paramonga,100.0,PE,1561953524.0,92.0,-10.68,-77.82,62.39,13.56
lompoc,40.0,US,1561953099.0,87.0,34.64,-120.46,66.99,13.87
oshawa,1.0,CA,1561953328.0,72.0,43.92,-78.86,66.99,6.93
gallup,1.0,US,1561953525.0,72.0,35.53,-108.74,64.4,6.93
port elizabeth,1.0,US,1561953370.0,53.0,39.31,-74.98,73.99,3.36
kozhva,99.0,RU,1561953525.0,62.0,65.11,57.05,63.24,7.31
caravelas,0.0,BR,1561953395.0,89.0,-17.73,-39.27,72.72,2.28
clyde river,1.0,CA,1561953526.0,75.0,70.47,-68.59,41.0,6.93
onguday,45.0,RU,1561953005.0,86.0,50.75,86.14,48.14,4.54
digri,71.0,PK,1561953527.0,67.0,25.16,69.11,86.71,15.93
oussouye,97.0,SN,1561952959.0,89.0,12.49,-16.54,77.17,6.17
tambau,0.0,BR,1561953528.0,79.0,-21.7,-47.27,61.82,2.1
bethel,90.0,US,1561953259.0,62.0,60.79,-161.76,55.4,9.17
ayan,20.0,IR,1561953528.0,42.0,38.23,44.7,62.6,16.11
cape canaveral,75.0,US,1561953529.0,36.0,28.41,-80.6,79.0,5.82
virginia beach,1.0,US,1561953320.0,94.0,36.85,-75.98,78.8,4.27
amparafaravola,25.0,MG,1561953530.0,85.0,-17.68,48.22,55.5,14.16
mangrol,20.0,IN,1561953530.0,74.0,25.33,76.51,82.4,3.36
faanui,86.0,PF,1561953414.0,76.0,-16.48,-151.75,77.66,20.51
talnakh,0.0,RU,1561953530.0,62.0,69.49,88.39,55.4,15.66
edd,77.0,ER,1561953531.0,47.0,13.93,41.69,87.45,2.26
boende,0.0,CD,1561953531.0,76.0,-0.28,20.88,73.98,1.16
umarkot,66.0,PK,1561953531.0,65.0,25.37,69.74,86.98,19.69
vila,40.0,IT,1561953053.0,83.0,45.18,8.4,80.01,5.82
gazojak,0.0,TM,1561953532.0,16.0,41.19,61.4,95.87,4.81
polunochnoye,96.0,RU,1561953532.0,82.0,60.87,60.43,62.5,10.63
mahebourg,75.0,MU,1561953532.0,64.0,-20.41,57.7,71.6,11.41
akdepe,0.0,TM,1561953533.0,22.0,42.05,59.39,89.6,11.41
pampas,72.0,PE,1561953533.0,95.0,-12.4,-74.87,40.07,0.83
ixtapa,90.0,MX,1561952945.0,78.0,20.71,-105.21,82.0,8.05
coahuayana,35.0,MX,1561952970.0,73.0,18.62,-100.35,75.12,3.09
kaitangata,98.0,NZ,1561953295.0,68.0,-46.28,169.85,53.01,1.99
mikhaylovka,0.0,RU,1561953534.0,49.0,52.96,103.29,72.67,9.06
ribas do rio pardo,0.0,BR,1561953534.0,66.0,-20.45,-53.76,68.71,1.19
qaqortoq,47.0,GL,1561953535.0,75.0,60.72,-46.03,44.6,2.24
conegliano,100.0,IT,1561953535.0,83.0,45.89,12.3,75.2,1.12
lufilufi,97.0,WS,1561953536.0,74.0,-13.87,-171.6,86.0,11.99
mount isa,0.0,AU,1561953536.0,23.0,-20.73,139.49,75.2,8.05
hare bay,75.0,CA,1561953469.0,100.0,48.86,-53.99,51.01,6.93
havoysund,0.0,NO,1561953537.0,53.0,71.0,24.66,51.8,5.82
atar,0.0,MR,1561953537.0,14.0,20.52,-13.05,90.11,13.94
aklavik,75.0,CA,1561953537.0,47.0,68.22,-135.01,55.4,3.36
horsham,100.0,AU,1561953537.0,62.0,-36.71,142.2,52.2,15.12
soe,85.0,EE,1561953538.0,56.0,57.91,26.05,69.8,16.11
miami,1.0,US,1561953381.0,88.0,25.77,-80.19,82.0,2.93
saint-augustin,20.0,CA,1561953538.0,88.0,45.63,-73.98,66.2,3.36
santiago del estero,89.0,AR,1561953395.0,66.0,-27.8,-64.26,49.85,5.26
aguimes,20.0,ES,1561953539.0,73.0,27.91,-15.45,69.8,23.04
port blair,75.0,IN,1561953539.0,79.0,11.67,92.75,86.0,11.41
melbu,100.0,NO,1561953539.0,80.0,68.5,14.83,50.0,18.99
batemans bay,0.0,AU,1561953540.0,54.0,-35.71,150.18,57.99,5.99
alofi,20.0,NU,1561953540.0,69.0,-19.06,-169.92,77.0,12.75
qaanaaq,0.0,GL,1561953540.0,50.0,77.48,-69.36,49.43,4.23
manado,40.0,ID,1561953409.0,52.0,1.49,124.85,89.6,12.75
do gonbadan,0.0,IR,1561953541.0,22.0,30.36,50.8,86.0,1.72
juchitepec,75.0,MX,1561953541.0,59.0,19.11,-98.88,60.8,9.17
lumeje,0.0,AO,1561953541.0,45.0,-11.56,20.78,51.92,3.02
salta,90.0,AR,1561953448.0,87.0,-24.79,-65.41,51.8,6.93
estelle,75.0,FR,1561953542.0,94.0,43.97,3.47,73.4,3.36
walvis bay,0.0,NA,1561953022.0,76.0,-22.95,14.51,57.2,6.93
aripuana,0.0,BR,1561953396.0,60.0,-9.17,-60.63,75.91,2.17
cabo san lucas,5.0,MX,1561953392.0,54.0,22.89,-109.91,82.99,4.7
bonthe,100.0,SL,1561953543.0,87.0,7.53,-12.5,77.08,7.4
balkanabat,0.0,TM,1561953543.0,55.0,39.51,54.36,77.44,21.07
saint anthony,1.0,US,1561953544.0,27.0,43.97,-111.68,75.2,8.05
amahai,78.0,ID,1561953544.0,83.0,-3.31,129.0,79.56,3.67
pozo colorado,100.0,PY,1561953544.0,90.0,-23.49,-58.8,62.73,9.35
villa corzo,90.0,MX,1561953545.0,78.0,16.19,-93.27,75.2,6.93
sawakin,0.0,SD,1561953545.0,52.0,19.1,37.33,85.11,9.84
chimoio,0.0,MZ,1561953466.0,87.0,-19.11,33.48,59.0,3.2
paita,91.0,PE,1561953545.0,91.0,-5.09,-81.11,64.55,14.85
mnogovershinnyy,41.0,RU,1561953546.0,42.0,53.94,139.92,72.58,8.3
jiaocheng,100.0,CN,1561953546.0,52.0,24.68,116.14,92.56,2.26
kurali,0.0,IN,1561953546.0,54.0,30.83,76.58,78.8,8.75
roebourne,0.0,AU,1561953547.0,15.0,-20.77,117.15,80.52,13.49
iqaluit,20.0,CA,1561953310.0,80.0,63.75,-68.52,41.0,9.17
lardos,0.0,GR,1561953547.0,44.0,36.09,28.02,78.8,8.05
itoman,75.0,JP,1561953548.0,70.0,26.12,127.67,89.6,23.04
raudeberg,75.0,NO,1561953413.0,93.0,61.99,5.14,54.0,20.8
nouadhibou,0.0,MR,1561953548.0,83.0,20.93,-17.03,66.35,27.85
mahendranagar,0.0,IN,1561953548.0,37.0,28.02,81.63,98.01,9.13
neuquen,0.0,AR,1561953047.0,61.0,-38.95,-68.06,32.0,2.24
lazaro cardenas,5.0,MX,1561953549.0,17.0,28.39,-105.62,82.4,6.93
lormont,90.0,FR,1561953549.0,93.0,44.88,-0.52,68.0,6.93
mayo,90.0,CA,1561953549.0,41.0,63.59,-135.9,77.0,5.82
mbigou,27.0,GA,1561953550.0,98.0,-1.9,11.91,65.56,1.3
valer,97.0,ES,1561953550.0,95.0,41.76,-6.18,59.01,2.1
bara,100.0,NG,1561953431.0,74.0,10.41,10.6,79.08,5.55
san policarpo,100.0,PH,1561953000.0,72.0,12.18,125.51,84.82,13.6
alugan,100.0,PH,1561953551.0,51.0,12.22,125.48,90.58,8.61
marawi,100.0,PH,1561953551.0,72.0,8.0,124.29,86.0,8.01
iskateley,100.0,RU,1561953552.0,79.0,67.68,53.15,49.6,16.82
shakhovskaya,75.0,RU,1561953552.0,87.0,56.03,35.51,55.39,7.27
qasigiannguit,40.0,GL,1561953552.0,80.0,68.82,-51.19,39.2,3.36
sao jose de piranhas,7.0,BR,1561953553.0,96.0,-7.12,-38.5,67.99,4.09
madimba,75.0,CM,1561953553.0,94.0,4.42,9.93,75.2,11.41
airai,99.0,TL,1561953398.0,71.0,-8.93,125.41,75.86,2.13
wanning,0.0,AT,1561953025.0,88.0,48.64,13.53,69.01,2.24
constitucion,40.0,MX,1561953449.0,52.0,23.99,-104.67,66.2,13.87
tias,90.0,ES,1561953555.0,73.0,28.96,-13.65,69.8,13.87
nordenham,75.0,DE,1561953555.0,87.0,53.5,8.48,61.0,8.05
kutum,52.0,SD,1561953012.0,52.0,14.2,24.66,78.66,1.41
veraval,0.0,FR,1561953556.0,93.0,49.65,0.71,57.2,4.7
